Player Name,Club
Arouna Sangante,Le Havre AC
Stephan Zagadou,Le Havre AC
Gautier Lloris,Le Havre AC
Etienne Youte Kinkoue,Le Havre AC
Yanis Zouaoui,Le Havre AC
Enzo Koffi,Le Havre AC
Fode Doucoure,Le Havre AC
Timothee Pembele,Le Havre AC
Loic Nego,Le Havre AC
Lucas Gourna-Douath,Le Havre AC
Ayumu Seko,Le Havre AC
Abdoulaye Toure,Le Havre AC
Daren Mosengo,Le Havre AC
Rassoul Ndiaye,Le Havre AC
Yassine Kechta,Le Havre AC
Simon Ebonog,Le Havre AC
Guy-Noel Zohouri,Le Havre AC
Sofiane Boufal,Le Havre AC
Reda Khadra,Le Havre AC
Issa Soumare,Le Havre AC
Felix Mambimbi,Le Havre AC
Godson Kyeremeh,Le Havre AC
Kenny Quetant,Le Havre AC
Noam Obougou,Le Havre AC
Ally Samatta,Le Havre AC
Melvin Zinga, Angers SCO
Herve Koffi, Angers SCO
Dan Sinate, Angers SCO
Ousmane Camara, Angers SCO
Lanroy Machine, Angers SCO
Marius Courcoul, Angers SCO
marius louer, Angers SCO
carlens arcus, Angers SCO
Prosper Peter,Angers SCO
Oumar Pona, Angers SCO
Pierrick Capelle,Angers SCO
Yahia Fofana,Angers SCO
Justin Mensah,Angers SCO
Ilyes Ziani,Angers SCO
Emmanuel Biumla,Angers SCO
Abdoulaye Bamba,Angers SCO
Jordan Lefort,Angers SCO
Mamadou Sekongo,Angers SCO
Lois Martins,Angers SCO
Yacine Belkhdar,Angers SCO
Lilian Raolisoa,Angers SCO
Joseph Lopy,Angers SCO
Jean-Matteo Bahoya,Angers SCO
Zinedine Ould Khaled,Angers SCO
Himad Abdelli,Angers SCO
Yassine Belkhdar,Angers SCO
Esteban Lepaul,Angers SCO
Jacques Ekomie,Angers SCO
Badr Benoun,Angers SCO
Lamine Dieng,Angers SCO
Makhtar Gueye,Angers SCO
Ibrahima Niane,Angers SCO
Sidiki Cherif,Angers SCO
Moussa Dembele,Angers SCO
Adrien Hunou,Angers SCO
Amine Salama,Angers SCO
Noah Fofana,Angers SCO
Jonathan Fischer,FC Metz
Nathan Mbala, FC Metz
Giorgi Abuashvili, FC Metz
Romain Jean-Baptiste,FC Metz
Ousmane Ba,FC Metz
Pape Sy,FC Metz
Maxime Colin,FC Metz
Moustapha Diop,FC Metz
Urie-Michel Mboula,FC Metz
Terry Yegbe,FC Metz
Sadibou Sane,FC Metz
Jean-Philippe Gbamin,FC Metz
Koffi Kouao,FC Metz
Fode Ballo-Toure,FC Metz
Bouna Sarr,FC Metz
Jessy Deminguet,FC Metz
Benjamin Stambouli,FC Metz
Alpha Toure,FC Metz
Boubacar Traore,FC Metz
Gauthier Hein,FC Metz
Giorgi Tsitaishvili,FC Metz
Habib Diallo,FC Metz
Giorgi Kvilitaia,FC Metz
Joseph Mangondo,FC Metz
Lucas Michal,FC Metz
Cleo Melieres,FC Metz
Yannis Lawson,FC Metz
Ismael Guerti,FC Metz
Tahirys Dos Santos,FC Metz
